time,s,i,v,p_s,p_i,phi
0.000000,0.950000,0.010000,0.050000,58.038005,1510.395336,-53.136105
0.100000,0.944965,0.010185,0.050000,57.891925,1483.319162,-52.705843
0.200000,0.939951,0.010372,0.050000,57.745285,1456.933429,-52.277764
0.300000,0.934959,0.010561,0.050000,57.598087,1431.217265,-51.851862
0.400000,0.929988,0.010751,0.050000,57.450332,1406.150513,-51.428131
0.500000,0.925038,0.010944,0.050000,57.302024,1381.713704,-51.006567
0.600000,0.920109,0.011138,0.050000,57.153164,1357.888033,-50.587164
0.700000,0.915201,0.011334,0.050000,57.003755,1334.655331,-50.169918
0.800000,0.910314,0.011532,0.050000,56.853800,1311.998042,-49.754823
0.900000,0.905448,0.011731,0.050000,56.703300,1289.899201,-49.341874
1.000000,0.900602,0.011933,0.050000,56.552259,1268.342413,-48.931067
1.100000,0.895776,0.012136,0.050000,56.400680,1247.311829,-48.522398
1.200000,0.890971,0.012341,0.050000,56.248564,1226.792125,-48.115861
1.300000,0.886187,0.012547,0.050000,56.095914,1206.768489,-47.711452
1.400000,0.881422,0.012755,0.050000,55.942735,1187.226595,-47.309167
1.500000,0.876678,0.012965,0.050000,55.789028,1168.152589,-46.909001
1.600000,0.871953,0.013176,0.050000,55.634797,1149.533070,-46.510950
1.700000,0.867249,0.013389,0.050000,55.480044,1131.355076,-46.115010
1.800000,0.862564,0.013604,0.050000,55.324773,1113.606065,-45.721178
1.900000,0.857900,0.013820,0.050000,55.168987,1096.273902,-45.329448
2.000000,0.853254,0.014037,0.050000,55.012690,1079.346844,-44.939816
2.100000,0.848629,0.014256,0.050000,54.855884,1062.813524,-44.552280
2.200000,0.844023,0.014476,0.050000,54.698573,1046.662941,-44.166836
2.300000,0.839436,0.014698,0.050000,54.540761,1030.884445,-43.783478
2.400000,0.834869,0.014921,0.050000,54.382451,1015.467722,-43.402205
2.500000,0.830321,0.015146,0.050000,54.223647,1000.402789,-43.023012
